Test Accuracy: 0.2912
Total samples: 4502
Correct predictions: 1311

Model Configuration:
  Embedding size: 128
  Hidden size: 256
  Encoder layers: 3
  Decoder layers: 3
  Cell type: lstm
  Beam size: 5

source,prediction,target,correct
chhagan,छगान,छगन,False
chhabi,छाबी,छबि,False
chhalla,छललला,छल्ला,False
chhallaa,छललाा,छल्ला,False
chhaviyaan,छवियाां,छवियाँ,False
chhaviyan,छवियां,छवियाँ,False
chhavi,छावी,छवी,False
cheh,छे,छह,False
chhah,छाह,छह,False
chehon,छेहों,छहों,False
chhahon,छहहों,छहों,False
chhai,छाई,छाई,True
chhagla,छगला,छागला,False
chhajan,छजजन,छाजन,False
chhaati,छाती,छाती,True
chhati,छती,छाती,False
chhaapemaar,छापेमार,छापेमार,True
chhapemar,छपेमार,छापेमार,False
chheenk,छींक,छींक,True
chhink,छिंक,छींक,False
chink,चिंक,छींक,False
chenkein,चेंकें,छींके,False
chhekein,छेकें,छींके,False
chhinke,छिंके,छींके,False
chhinky,छिंकी,छींके,False
chinke,चिंके,छींके,False
chhudaane,छुदाने,छुडाने,False
chhudane,छुड़ने,छुडाने,False
chhupakar,छुपकार,छुपकर,False
chhupkar,छुपकार,छुपकर,False
chhupkr,छुपक्र,छुपकर,False
chhupata,छुपता,छुपता,True
chhupta,छुपता,छुपता,True
chhuptaa,छुपता,छुपता,True
chhura,छुरा,छुरा,True
chhuraa,छुरा,छुरा,True
chhuree,छुरी,छुरी,True
chhuri,छुरी,छुरी,True
chhure,छुरे,छुरे,True
chhootane,छूटने,छूटने,True
chhutane,छुटाने,छूटने,False
chhutne,छुटने,छूटने,False
chheter,छेटर,छेत्र,False
chhetr,छेट्र,छेत्र,False
chhetter,छेटेटर,छेत्र,False
chhetri,छेत्री,छेत्री,True
chhetthari,छेत्थारी,छेत्री,False
chhetthri,छेत्थरी,छेत्री,False
chai,चाई,छै,False
chhai,छाई,छै,False
chhe,छे,छै,False
jagaega,जगगेगा,जगाएगा,False
jagayega,जगगेगा,जगाएगा,False
jaghaega,जघहेगा,जगाएगा,False
jgaayega,जगायेग,जगाएगा,False
jgayegaa,जगगेगा,जगाएगा,False
jajaon,जजाओं,जजों,False
jajon,जजजों,जजों,False
jad,जाद,जड़,False
jadd,जद्द,जड़,False
jaddit,जद्दित,जड़ित,False
jadeite,जड़ीते,जड़ित,False
jadet,जड़ेत,जड़ित,False
jadit,जड़तत,जड़ित,False
jadein,जड़ें,जड़ें,True
jaden,जड़ें,जड़ें,True
jatara,जतारा,जतरा,False
jatra,जत्रा,जतरा,False
jataati,जताती,जताती,True
jatatee,जततती,जताती,False
jatati,जतती,जताती,False
janagananaa,जनागनना,जनगणना,False
janaganna,जनागनन,जनगणना,False
jangadnaa,जंगदना,जनगणना,False
janganana,जंगनना,जनगणना,False
janganna,जंगनना,जनगणना,False
janajagran,जनजजग्रण,जनजागरण,False
janjaagran,जंजाग्रण,जनजागरण,False
janjagran,जंजगग्रण,जनजागरण,False
january,जनुर्य,जनवरी,False
janahaani,जनाहानी,जनहानि,False
janahani,जनाहनी,जनहानि,False
janhaani,जनहानी,जनहानि,False
janhani,जनहनी,जनहानि,False
jnhaani,जनहानी,जनहानि,False
jamaate,जमाते,जमाती,False
jamaati,जमाती,जमाती,True
jamati,जमती,जमाती,False
jamaaya,जमाया,जमाया,True
jamaeya,जमाया,जमाया,True
jamaya,जमाया,जमाया,True
jamayaa,जमाया,जमाया,True
jamuai,जमूाई,जमुई,False
jamuei,जमुई,जमुई,True
jamui,जममी,जमुई,False
jai,जाई,जय,False
jay,जाय,जय,False
jaidayal,जैदायल,जयदयाल,False
jayadayal,जयादयाल,जयदयाल,False
jaydayal,जयदायाल,जयदयाल,False
jaibaan,जैबान,जयबाण,False
jaiban,जैबान,जयबाण,False
jaybaan,जयबबान,जयबाण,False
jayalalita,जयाललिता,जयललिता,False
jayalalitaa,जयाललिता,जयललिता,False
jayalalithaa,जयाललिथा,जयललिता,False
jaylalita,जालललिता,जयललिता,False
jarakh,जराख,जरख,False
zarakh,जरखख,जरख,False
jarda,जरदा,जर्दा,False
jardaa,जरदाा,जर्दा,False
zarda,जरदा,जर्दा,False
jalagati,जलागती,जलगति,False
jalgati,जलगतती,जलगति,False
jalgti,जलग्ती,जलगति,False
jalte,जलते,जलते,True
jalbharav,जलभभाव,जलभराव,False
jalbhraav,जलभभरव,जलभराव,False
jalbhrav,जलभभरव,जलभराव,False
jalvaayu,जलवायु,जलवायु,True
jalvayu,जलवायु,जलवायु,True
jalesar,जललेसर,जलेसर,False
jasmeet,जस्मीत,जसमीत,False
jasmit,जस्मित,जसमीत,False
jassee,जससी,जस्सी,False
jassi,जससी,जस्सी,False
jamaanaa,जमाना,ज़माना,False
jamana,जमाना,ज़माना,False
zamaanaa,जमाना,ज़माना,False
zamana,जमाना,ज़माना,False
jaljale,जलजलले,ज़लज़ले,False
zalzale,जल्लाले,ज़लज़ले,False
zee,जी,ज़ी,False
jubaan,जुबान,ज़ुबान,False
juban,जुबनन,ज़ुबान,False
zuban,जुबान,ज़ुबान,False
jaanch,जांच,जाँच,False
jaaunch,जांंच,जाँच,False
janch,जंच,जाँच,False
jaunch,जौंच,जाँच,False
jaagriti,जाग्रिति,जागृति,False
jagriti,जग्रिति,जागृति,False
jagruti,जगरृती,जागृति,False
jajamau,जजामा,जाजमऊ,False
jajmau,जजजमा,जाजमऊ,False
jajmauu,जजजमौु,जाजमऊ,False
jaat,जात,जात,True
jat,जतत,जात,False
jaatak,जातक,जातक,True
jatak,जतक,जातक,False
jaatakon,जातकों,जातकों,True
jaatkon,जातकों,जातकों,True
jatakon,जतकों,जातकों,False
jaatiyon,जातियों,जातियों,True
jatiyon,जतियों,जातियों,False
jaankaaron,जांकारों,जानकारों,False
jaankaron,जांकरों,जानकारों,False
jankaron,जंकारों,जानकारों,False
jaanam,जानम,जानम,True
janam,जनाम,जानम,False
jaayke,जायके,जायके,True
jayke,जायके,जायके,True
jaawar,जावर,जावर,True
zawar,जववर,जावर,False
jing,जिंग,जिंग,True
gin,गिन,जिन,False
jeen,जीन,जिन,False
jin,जीन,जिन,False
ginee,गिनी,जिनी,False
jinee,जीनी,जिनी,False
jini,जिनी,जिनी,True
geneva,गेनेवा,जिनीवा,False
jeneva,जेनेवा,जिनीवा,False
jiniva,जिनिवा,जिनीवा,False
gypsy,गियपसी,जिप्सी,False
jimme,जिममम,जिम्मे,False
jiya,जिया,जिया,True
gic,गिक,जीआईसी,False
gr,ग्र,जीआर,False
gm,ग्म,जीएम,False
gsm,ग्सम,जीएसएम,False
gtod,ग्टोड,जीतोड़,False
gtor,ग्टोर,जीतोड़,False
jeetod,जीतोड,जीतोड़,False
jitod,जितोड,जीतोड़,False
jean,जीन,जीन,True
jeen,जीन,जीन,True
jin,जीन,जीन,True
jeenon,जीनों,जीनों,True
jinon,जिनों,जीनों,False
jeepney,जीपने,जीपनी,False
jipani,जिपानी,जीपनी,False
jeeyo,जीयो,जीयो,True
jio,जियो,जीयो,False
jiyo,जियो,जीयो,False
jeera,जीरा,जीरा,True
jira,जिरा,जीरा,False
jeevant,जीवांत,जीवंत,False
jivant,जिवांत,जीवंत,False
jeevan,जीवान,जीवन,False
jeewan,जीवान,जीवन,False
jivan,जिवान,जीवन,False
jiwan,जिवान,जीवन,False
jeevanshaili,जीवांशाली,जीवनशैली,False
jivanshaili,जिवांशाली,जीवनशैली,False
jeevniyaan,जीवननियां,जीवनियां,False
jivaniya,जिवानिया,जीवनियां,False
jivaniyaan,जिवानियां,जीवनियां,False
jivaniyan,जिवानियां,जीवनियां,False
jeevraaj,जीवराज,जीवराज,True
jivraj,जिवराज,जीवराज,False
jua,जुआ,जुए,False
jue,जुए,जुए,True
juye,जुय,जुए,False
jutee,जूती,जुटी,False
juti,जूती,जुटी,False
judaai,जुदाई,जुड़ाई,False
judae,जुदाए,जुड़ाई,False
judai,जुदाई,जुड़ाई,False
judaai,जुदाई,जुदाई,True
judai,जुदाई,जुदाई,True
junoon,जूनून,जुनून,False
junun,जुनुन,जुनून,False
junooni,जुनूनी,जुनूनी,True
jununi,जुनुनी,जुनूनी,False
jubair,जुबार,जुबेर,False
juber,जूबर,जुबेर,False
zubair,जुबारर,जुबेर,False
juraab,जुराब,जुराब,True
jurab,जुरबब,जुराब,False
julaahon,जुलाहों,जुलाहों,True
julahon,जुलाहों,जुलाहों,True
julmon,जूलमों,जुल्मों,False
zulmon,जुल्मों,जुल्मों,True
jood,जूद,जूड,False
jud,जुद,जूड,False
junagadh,जुनगगढ़,जूनागढ,False
junagarh,जुनगगरह,जूनागढ,False
junior,जूनियर,जूनियर,True
jealous,जिललूस,जूलूस,False
juloos,जुलूस,जूलूस,False
julus,जुलूस,जूलूस,False
jetha,जेथा,जेठा,False
jenner,जेनेर,जेनर,False
generic,गेनेरिक,जेनरिक,False
jenrick,जेंररिक,जेनरिक,False
generat,गेनेरत,जेनरेट,False
generate,गेनेरते,जेनरेट,False
jenee,जीनी,जेनी,False
jenni,जेननी,जेनी,False
jenny,जेंन,जेनी,False
james,जमेस,जेम्स,False
jeremy,जेरेम,जेरेमी,False
gerome,गेरोम,जेरोम,False
jerome,जररोम,जेरोम,False
jacks,जैक्स,जैक्स,True
jain,जैं,जैन,False
gene,गेने,जैने,False
jaine,जैने,जैने,True
jaino,जैनो,जैनों,False
jainon,जैनों,जैनों,True
jerry,जेरी,जैरी,False
jasper,जस्पर,जैस्पर,False
jogging,जोगगिंग,जॉगिंग,False
johnson,जोहनों,जॉनसन,False
jobs,जोब्स,जॉब्स,False
jockey,जोके,जोकि,False
joki,जोकी,जोकि,False
jokhim,जोखीम,जोखिम,False
joddta,जोद्ता,जोड़ता,False
jodta,जोडता,जोड़ता,False
jorhta,जोर्ता,जोड़ता,False
jodiyon,जोडियों,जोड़ियों,False
jodo,जोड़,जोड़ो,False
jaun,जौन,जौं,False
gyatavya,ग्ञततव्या,ज्ञातव्य,False
gyatvy,ग्ञातवी,ज्ञातव्य,False
gyapit,ग्ञापित,ज्ञापित,False
jyotiba,ज्योततिबा,ज्योतिबा,False
joint,जोइंत,ज्वाइंट,False
jvar,जववर,ज्वार,False
jwar,जववर,ज्वार,False
jvaaron,ज्वारों,ज्वारों,True
jvaron,ज्वरों,ज्वारों,False
jwaron,ज्वरों,ज्वारों,False
jewellers,ज्वेल्र्स,ज्वेलर्स,False
jh,झ,झ,True
jha,झा,झ,False
jhalakti,झलक्ती,झलकती,False
jhalkati,झलकाती,झलकती,False
jhalla,झलला,झल्ला,False
jhankana,झंकना,झांकना,False
jhankna,झंकना,झांकना,False
jheel,झील,झील,True
jhil,झिल,झील,False
jheelon,झीलों,झीलों,True
jhilon,झिलों,झीलों,False
jhuthala,झुठला,झुठला,True
jhuthla,झुठला,झुठला,True
jhuthalane,झुथलाने,झुठलाने,False
jhuthlane,झुथलने,झुठलाने,False
tankaar,तंकार,टंकार,False
tankar,तंकर,टंकार,False
takara,तकारा,टकरा,False
takra,तक्रा,टकरा,False
takaraon,तकराओं,टकरावों,False
takravon,तक्रवों,टकरावों,False
tapakti,तपक्ति,टपकती,False
tapkati,तपकतती,टपकती,False
time,तिमे,टाइम,False
timer,टिमर,टाइमर,False
taoo,ताऊ,टाऊ,False
tau,ताऊ,टाऊ,False
tapoowo,तपूूू,टापुओं,False
tapuon,तपूूं,टापुओं,False
tapuwo,तपुवू,टापुओं,False
tied,तिइड,टायर्ड,False
tired,टिरेड,टायर्ड,False
tyred,टियरेड,टायर्ड,False
tarch,तर्च,टार्च,False
torch,टोर्च,टार्च,False
tik,तिक,टिक,False
teap,टीप,टिप,False
tip,तिप,टिप,False
tippanikar,तिपपपनिकर,टिप्पणीकार,False
tippnikar,तिपपपिकर,टिप्पणीकार,False
tivolee,तिवोली,टिवोली,False
tivoli,तिवोली,टिवोली,False
teekamgarh,तीकममगर,टीकमगढ़,False
tikamgarh,तिकामगर,टीकमगढ़,False
teekon,तीकों,टीकों,False
tikon,तिकों,टीकों,False
two,ट्व,टु,False
tension,टेंसिन,टेंशन,False
tenis,टेनिस,टेनिस,True
tennis,टेननिस,टेनिस,False
taste,तस्ते,टेस्ट,False
test,टेस्ट,टेस्ट,True
tasting,टस्टिंग,टेस्टिंग,False
testing,टेस्टिंग,टेस्टिंग,True
tainin,तैनीन,टैनिन,False
tenin,टेनीन,टैनिन,False
tanish,तनिश,टैनिस,False
tennis,टेननिस,टैनिस,False
taboo,ताबू,टैबू,False
taiboo,तैबबू,टैबू,False
taobao,ताबबा,टैबू,False
tonic,टोनिक,टॉनिक,False
tonga,तोंगा,टोंगा,False
toka,तोका,टोका,False
tuesday,तुसेदेय,ट्यूजडे,False
tuning,टननिंग,ट्यूनिंग,False
tuberculosis,टब्र्क्लोस,ट्यूबरक्यूलोसिस,False
tuberkyulosis,टबबर्क्योस,ट्यूबरक्यूलोसिस,False
truck,ट्रूक,ट्रक,False
trangistor,ट्रंगिस्ट,ट्रांजिस्टर,False
tranjister,ट्रांजिस्ट,ट्रांजिस्टर,False
transistor,ट्रांसिस्ट,ट्रांजिस्टर,False
transfer,ट्रेंसर,ट्रान्सफर,False
tribunal,त्रिबुनल,ट्रिब्युनल,False
tribunal,त्रिबुनल,ट्रिब्यूनल,False
trubyunal,त्रब्युनल,ट्रिब्यूनल,False
truth,तृतठ,ट्रुथ,False
tuth,तुठ,ट्रुथ,False
traded,ट्रदेड,ट्रेडेड,False
trabal,त्रबाल,ट्रेबल,False
trebal,ट्रेबल,ट्रेबल,True
trouble,ट्रूबल,ट्रेबल,False
traip,ट्रैप,ट्रैप,True
trap,त्रपप,ट्रैप,False
trot,ट्रोत,ट्रॉट,False
trott,ट्रोट,ट्रॉट,False
thakkar,थककार,ठक्कर,False
thakkr,थकक्र,ठक्कर,False
thaharne,थहरने,ठहरने,False
thahrane,ठहराने,ठहरने,False
theharne,ठहरने,ठहरने,True
thikane,थिकने,ठिकाने,False
thumari,थुमारी,ठुमरी,False
thumri,थुमरी,ठुमरी,False
theinga,थेंगा,ठेंगा,False
thenga,थेंगा,ठेंगा,False
thengaa,थेंगा,ठेंगा,False
daglas,दगलास,डगलस,False
douglas,दूगललस,डगलस,False
dabhara,दभभरा,डभरा,False
dabhra,दभ्रा,डभरा,False
dabhoi,दभभी,डभोई,False
dam,दमम,डम,False
dum,डूम,डम,False
darate,दराते,डराते,False
daratey,दराते,डराते,False
daravani,दरवानी,डरावनी,False
darawani,दरवानी,डरावनी,False
dravani,द्रवानी,डरावनी,False
down,दों,डाउन,False
daak,दाक,डाक,False
dak,दकक,डाक,False
daka,दका,डाका,False
dabi,दाबी,डाबी,False
dabolim,दाबोलिम,डाबोलिम,False
dinosaur,दिनोसौर,डायनासोर,False
diaries,डियरिस,डायरीज,False
dit,दित,डिट,False
depthiriya,देप्थिरिय,डिप्थीरिया,False
diphtheria,दिफ्थेरी,डिप्थीरिया,False
de,डे,डीई,False
dealership,देलेर्शिप,डीलरशिप,False
dvc,ड्वी,डीवीसी,False
dubaana,दुबाना,डुबाना,False
dubana,दुबना,डुबाना,False
dubona,दुबोना,डुबोना,False
dulne,दुलने,डुलने,False
doonarpur,दूनरपुर,डूंगरपुर,False
doongarpur,दूंगरपुर,डूंगरपुर,False
dungarpur,दुंगरपुर,डूंगरपुर,False
dungerpur,डंंगरपुर,डूंगरपुर,False
dubana,दुबना,डूबना,False
dubna,दुबना,डूबना,False
dangerous,डंगेरूस,डेंजरस,False
daisy,डैसी,डेजी,False
dazy,दाजी,डेजी,False
deji,देजी,डेजी,False
deputy,देपुटी,डेप्युटी,False
davidson,दविद्सों,डेविडसन,False
devidson,देविदसों,डेविडसन,False
davey,दवे,डेवी,False
devi,देवी,डेवी,False
dewey,देवे,डेवी,False
destination,डेस्टिनान,डेस्टिनेशन,False
datson,दत्सों,डैटसन,False
datsun,दतसून,डैटसन,False
daddy,दाद्ड,डैडी,False
dark,डर्क,डॉर्क,False
dork,डोरक,डॉर्क,False
dose,डोस,डोज,False
domenic,डोमेनिक,डोमेनिक,True
doranda,दोरंदा,डोरंडा,False
dolane,दोलने,डोलने,False
dolne,डोलने,डोलने,True
dual,दुआल,ड्युअल,False
duak,दुक,ड्यूक,False
duke,दुके,ड्यूक,False
drame,द्रमे,ड्रामे,False
dramen,द्रमें,ड्रामे,False
drager,द्रगर,ड्रेजर,False
dredger,ड्रेडगर,ड्रेजर,False
dreijer,ड्रीजर,ड्रेजर,False
dhakaal,धकाल,ढकाल,False
dhakal,धकाल,ढकाल,False
dhakkal,धककाल,ढकाल,False
dhkal,धकाल,ढकाल,False
dhale,धाले,ढले,False
dhoondh,धूंध,ढूंढ,False
dhundh,धुंध,ढूंढ,False
dhoondhata,धूंधता,ढूंढता,False
dhundhata,धुंधता,ढूंढता,False
dhundhta,धुंधता,ढूंढता,False
dhoondhi,धूंधी,ढूंढी,False
dhundhi,धुंधी,ढूंढी,False
tanjavur,तंजावूर,तंजावुर,False
thanjavur,थंजावूर,तंजावुर,False
tantr,तंट्र,तंत्र,False
tantra,तंत्र,तंत्र,True
tantrikao,तंत्रिका,तंत्रिकाओं,False
tantrikaon,तंत्रिकाओं,तंत्रिकाओं,True
tantro,तंत्रो,तंत्रों,False
tantron,तंत्रों,तंत्रों,True
tagade,तगड़े,तगड़े,True
tagde,तगड़े,तगड़े,True
tadipaar,तदीिपार,तड़ीपार,False
tadipar,तड़िपार,तड़ीपार,False
tani,तानी,तनी,False
tapan,तपनन,तपन,False
tarafa,तराफा,तरफा,False
tarfa,तर्फा,तरफा,False
tarabganj,तररबगंज,तरबगंज,False
taras,तरास,तरस,False
taraash,तराश,तराश,True
tarash,तराश,तराश,True
tarashay,तराशाय,तराशे,False
tarashe,तराशे,तराशे,True
tareeko,तारीको,तरीको,False
tariko,तारिको,तरीको,False
tark,तारक,तर्क,False
tarkvaad,तर्कवाद,तर्कवाद,True
tarkvad,तरक्वाद,तर्कवाद,False
tarkwaad,तरक्वाद,तर्कवाद,False
tarko,ताक्को,तर्कों,False
tarkon,तर्कों,तर्कों,True
talabgaar,तललबगार,तलबगार,False
talabgar,तललबगार,तलबगार,False
talbagaar,तलबबगार,तलबगार,False
talbagar,तल्बागर,तलबगार,False
talawe,तलावे,तलवे,False
talve,तलवे,तलवे,True
talawon,तललवों,तलवों,False
talvon,तलवों,तलवों,True
tahakhana,तहखखना,तहखाना,False
tahkhaana,तहखाना,तहखाना,True
tahkhana,तहखाना,तहखाना,True
taantaa,तांता,तांता,True
tanta,तंता,तांता,False
tambe,तंबे,तांबे,False
tanbe,तंबे,तांबे,False
taaja,ताजा,ताजा,True
taajaa,ताजा,ताजा,True
taaza,ताजा,ताजा,True
taja,ताजा,ताजा,True
taza,ताजा,ताजा,True
tansen,तंसें,तानसेन,False
taapmaanon,तापमानों,तापमानों,True
tapmano,तपमानों,तापमानों,False
tapmanon,तप्मनों,तापमानों,False
taapti,तापती,ताप्ती,False
tapti,तपती,ताप्ती,False
tarabai,तराबाई,ताराबाई,False
taseer,तसीर,तासीर,False
tasir,तसीर,तासीर,False
taahi,ताही,ताहि,False
tahi,तही,ताहि,False
tikone,तिकोने,तिकोने,True
tirupati,तिरुपती,तिरूपति,False
tiwari,तिवारी,तिवारी,True
ti,ती,ती,True
teer,तीर,तीर,True
tir,तिर,तीर,False
teeron,तीरों,तीरों,True
tiron,तिरों,तीरों,False
tirthatan,तिर्थतान,तीर्थाटन,False
tungnath,तुंगनाथ,तुंगनाथ,True
tughlaq,तुघला,तुगलक,False
tuglak,तुगलाक,तुगलक,False
tughlakabad,तुग्लकाबाद,तुगलकाबाद,False
tughlaqabad,तुघललाबाद,तुगलकाबाद,False
tuglakabad,तुगलकाबाद,तुगलकाबाद,True
tugalaki,तुगलाकी,तुगलकी,False
tugalki,तुगलकी,तुगलकी,True
tuglaki,तुगलाकी,तुगलकी,False
tufail,टुफालल,तुफैल,False
tejaji,तेजाजी,तेजाजी,True
teji,तेजी,तेजी,True
tel,टेल,तेल,False
telon,टेलों,तेलों,False
to,तो,तो,True
toh,तोह,तो,False
taul,तौल,तौल,True
tyohaar,तियोहार,त्यौहार,False
tyohar,तियोहर,त्यौहार,False
tyoihar,तियोिहार,त्यौहार,False
tyauharon,त्यौौहरों,त्यौहारों,False
tyoharon,तियोहरों,त्यौहारों,False
tyoiharon,तियोिहारों,त्यौहारों,False
trijata,त्रिजता,त्रिजटा,False
trijta,त्रिजता,त्रिजटा,False
triya,त्रिया,त्रिया,True
tremasik,ट्रेमासिक,त्रैमासिक,False
trimasik,त्रिमासिक,त्रैमासिक,False
tse,टेस,त्से,False
thaki,ठकी,थकी,False
thki,थकी,थकी,True
tharti,थर्ती,थर्टी,False
thirty,थिर्ती,थर्टी,False
thane,थाने,थाणे,False
thaanvi,ठांवी,थानवी,False
thanvi,ठंवी,थानवी,False
theateron,थेटेरों,थिएटरों,False
theatron,थीत्रों,थिएटरों,False
theaters,थीटर्स,थिएटर्स,False
theater,थीटर,थियेटर,False
theatre,थेट्रे,थियेटर,False
theateron,थेटेरों,थियेटरों,False
theatron,थीत्रों,थियेटरों,False
thitron,थित्रों,थियेटरों,False
theaters,थीटर्स,थियेटर्स,False
theatrs,थेट्र्स,थियेटर्स,False
thiyeters,थियेटर्स,थियेटर्स,True
thirake,थिरके,थिरके,True
thirke,थिरके,थिरके,True
thief,थीफफ,थीफ,False
then,ठें,थेन,False
theni,थेनी,थेनी,True
thailee,थैली,थैली,True
thaili,थैली,थैली,True
thaile,थैले,थैले,True
dang,डांग,दंग,False
danga,दंगा,दंगा,True
dangon,दंगों,दंगों,True
dampati,दमपतती,दंपति,False
danpati,दंपती,दंपति,False
dampatiyon,दमपपतियों,दंपतियों,False
dampattiyon,दंपतततियों,दंपतियों,False
danptiyon,दंप्तियों,दंपतियों,False
dadreva,दद्रेवा,ददरेवा,False
dadrewa,दद्रेवा,ददरेवा,False
damoh,दमोह,दमोह,True
dardara,दरदारा,दरदरा,False
dardraa,दरद्रा,दरदरा,False
durdhara,दुर्धार,दरदरा,False
darmiyaan,दर्मियां,दरमियान,False
darmiyan,दर्मियां,दरमियान,False
darjano,दर्जनों,दर्जनों,True
darjanon,दर्जनों,दर्जनों,True
darp,डाप्प,दर्प,False
darra,दररा,दर्रा,False
dalbadal,दल्बदाल,दलबदल,False
dalbadl,दलबबदल,दलबदल,False
dali,दाली,दली,False
dastaanaa,दस्ताना,दस्ताना,True
dastana,दस्तना,दस्ताना,False
dastavej,दस्तवेज,दस्तावेज,False
dahan,दहान,दहन,False
dahal,दहाल,दहल,False
da,दा,दा,True
daakhil,दाखील,दाखिल,False
dakhil,दखील,दाखिल,False
daakhile,दाखीले,दाखिले,False
dakhile,दखीले,दाखिले,False
daataa,दाता,दाता,True
data,दता,दाता,False
dadari,ददारी,दादरी,False
daanshil,दांशिल,दानशील,False
danshil,दंशिल,दानशील,False
daabholkar,दाभोलकार,दाभोलकर,False
dabholkar,दभोलकार,दाभोलकर,False
damale,दमले,दामले,False
damle,दमले,दामले,False
dayitv,दाइितव,दायित्व,False
dayitva,दाइितवा,दायित्व,False
dayitwa,दाइितवा,दायित्व,False
dayitvon,दाइितवों,दायित्वों,False
dayityon,दायित्यों,दायित्वों,False
darul,दरूल,दारूल,False
daav,दाव,दाव,True
daaw,दाव,दाव,True
dav,दवव,दाव,False
daw,दाव,दाव,True
daah,दाह,दाह,True
dah,दाह,दाह,True
dikhla,दिखला,दिखला,True
dikhlaa,दिखला,दिखला,True
dikhaaiye,दिखाईय,दिखाइये,False
dikhaiye,दिखाएय,दिखाइये,False
dikhaai,दिखाई,दिखाई,True
dikhai,दिखाई,दिखाई,True
dikhayi,दिखायी,दिखाई,False
dikhaaee,दिखाई,दिखाईं,False
dikhaai,दिखाई,दिखाईं,False
dikhaain,दिखाएं,दिखाईं,False
dikhaee,दिखाई,दिखाईं,False
dikhai,दिखाई,दिखाईं,False
dikhayin,दिखायिं,दिखाईं,False
dikhai,दिखाई,दिखायी,False
dikhayi,दिखायी,दिखायी,True
dikhaai,दिखाई,दिखार्इ,False
dikhae,दिखाई,दिखार्इ,False
dikhai,दिखाई,दिखार्इ,False
dikhayi,दिखायी,दिखार्इ,False
dita,दिता,दिता,True
ditaa,दिता,दिता,True
dinaank,दिनांक,दिनांक,True
dinank,दिनंक,दिनांक,False
dirham,दिरहाम,दिरहम,False
dilaaye,दिलाएय,दिलाये,False
dilaye,दिलाए,दिलाये,False
deewani,दीवानी,दिवानी,False
diwani,दिवानी,दिवानी,True
divy,दीवी,दिव्य,False
divya,दिव्या,दिव्य,False
divyata,दिव्यता,दिव्यता,True
divya,दिव्या,दिव्या,True
deepan,दीपन,दीपन,True
deepn,दीपन,दीपन,True
dipan,दिपन,दीपन,False
deepsingh,दीप्सिंघ,दीपसिंह,False
dipsingh,दिपसिंघ,दीपसिंह,False
deepika,दीपिका,दीपिका,True
dipika,दिपिका,दीपिका,False
deeya,दीया,दीया,True
diya,दिया,दीया,False
dukaanon,दुकानों,दुकानों,True
dukanon,दुकानों,दुकानों,True
dukke,दुकके,दुक्के,False
dukhan,दुखन,दुखन,True
dukhit,दुखित,दुखित,True
dukhiyon,दुखियों,दुखियों,True
dukhon,दुखों,दुखों,True
dubhashiyon,दुभाशियों,दुभाषियों,False
durgun,दूर्ग,दुर्गुण,False
durghatna,दुर्घतन,दुर्घटना,False
durghtna,दुर्घ्ना,दुर्घटना,False
duneerti,दुनीर्ती,दुर्नीति,False
durniti,दूर्नित,दुर्नीति,False
durbhiksh,दुर्भिक्ष,दुर्भिक्ष,True
duvidhaaen,दुविधाएं,दुविधाएं,True
duvidhaayein,दुविधायाएं,दुविधाएं,False
duvidhaen,दुविधाएं,दुविधाएं,True
duwaidhaayein,दुवाधााएं,दुविधाएं,False
dune,दूने,दूने,True
doordarshan,दूरदर्शन,दूरदर्शन,True
durdarshan,दूरदर्शन,दूरदर्शन,True
dradh,द्रध,दृढ़,False
dridh,दृद्ध,दृढ़,False
dekhoge,देखोगे,देखोगे,True
denevaali,देनेवाली,देनेवाली,True
denevali,देनेवाली,देनेवाली,True
denewaali,देनेवाली,देनेवाली,True
denewali,देनेवाली,देनेवाली,True
deonar,डेननर,देवनार,False
devnaar,देवनार,देवनार,True
devnar,देवनर,देवनार,False
devaapur,देवापुर,देवापुर,True
devapur,देवपपुर,देवापुर,False
devi,देवी,देवी,True
devisingh,देविसिं,देवीसिंह,False
devisinh,देविसिन,देवीसिंह,False
deshkaal,देशकाल,देशकाल,True
deshkal,देशकाल,देशकाल,True
deshke,देशके,देशके,True
desai,देसाई,देसाई,True
doge,डोगे,दोगे,False
dvadash,द्वदाश,द्वादश,False
dwaadas,द्वादस,द्वादश,False
dvivedi,द्विवेदी,द्विवेदी,True
dwivedi,द्विवेदी,द्विवेदी,True
dhande,धंडे,धंधे,False
dhandhe,धंधे,धंधे,True
dhndhe,धंधे,धंधे,True
dhandhon,धंधों,धंधों,True
dhandon,धंडों,धंधों,False
dhakelte,धकेलते,धकेलते,True
dhkelate,धकेेलते,धकेलते,False
dhatana,धताना,धटना,False
dhatna,धतना,धटना,False
dhankuber,धंकुबर,धनकुबेर,False
dhanadhany,धनाधान,धनधान्य,False
dhandhaanya,धंधान्य,धनधान्य,False
dhandhany,धंधन्य,धनधान्य,False
dhandhanya,धंधन्य,धनधान्य,False
dhamkaataa,धमकाता,धमकाता,True
dhamkata,धमकता,धमकाता,False
dhamm,धममम,धम्म,False
dhamma,धमममा,धम्मा,False
dhammaa,धमममा,धम्मा,False
dharmnath,धर्मनाथ,धर्मनाथ,True
dharmraj,धर्मराज,धर्मराज,True
dharmesh,धर्मेश,धर्मेश,True
dhasmaanaa,धस्माना,धस्माना,True
dhasmana,धस्मना,धस्माना,False
